File Name, Expanded States, Plan Length
output_p01, 4, 3
output_probBLOCKS-10-0, 18, 17
output_probBLOCKS-10-1, 18, 17
output_probBLOCKS-10-2, 18, 17
output_probBLOCKS-11-0, 19, 18
output_probBLOCKS-11-1, 18, 17
output_probBLOCKS-11-2, 20, 19
output_probBLOCKS-12-0, 21, 20
output_probBLOCKS-12-1, 22, 21
output_probBLOCKS-13-0, 23, 22
output_probBLOCKS-13-1, 23, 22
output_probBLOCKS-14-0, 25, 24
output_probBLOCKS-14-1, 23, 22
output_probBLOCKS-15-0, 25, 24
output_probBLOCKS-15-1, 28, 27
output_probBLOCKS-16-1, 29, 28
output_probBLOCKS-16-2, 30, 29
output_probBLOCKS-17-0, 29, 28
output_probBLOCKS-4-0, 4, 3
output_probBLOCKS-4-1, 6, 5
output_probBLOCKS-4-2, 4, 3
output_probBLOCKS-5-0, 8, 7
output_probBLOCKS-5-1, 6, 5
output_probBLOCKS-5-2, 9, 8
output_probBLOCKS-6-0, 10, 9
output_probBLOCKS-6-1, 6, 5
output_probBLOCKS-6-2, 11, 10
output_probBLOCKS-7-0, 13, 12
output_probBLOCKS-7-1, 12, 11
output_probBLOCKS-7-2, 12, 11
output_probBLOCKS-8-0, 12, 11
output_probBLOCKS-8-1, 11, 10
output_probBLOCKS-8-2, 11, 10
output_probBLOCKS-9-0, 16, 15
output_probBLOCKS-9-1, 17, 16
output_probBLOCKS-9-2, 16, 15
