File Name, Expanded States, Plan Length
output_ipc-2011-learning-spanner-pfile01-001, 252, 251
output_ipc-2011-learning-spanner-pfile01-002, 252, 251
output_ipc-2011-learning-spanner-pfile01-003, 252, 251
output_ipc-2011-learning-spanner-pfile01-004, 252, 251
output_ipc-2011-learning-spanner-pfile01-005, 252, 251
output_ipc-2011-learning-spanner-pfile02-006, 282, 281
output_ipc-2011-learning-spanner-pfile02-007, 282, 281
output_ipc-2011-learning-spanner-pfile02-008, 282, 281
output_ipc-2011-learning-spanner-pfile02-009, 282, 281
output_ipc-2011-learning-spanner-pfile02-010, 282, 281
output_ipc-2011-learning-spanner-pfile03-011, 312, 311
output_ipc-2011-learning-spanner-pfile03-012, 312, 311
output_ipc-2011-learning-spanner-pfile03-013, 312, 311
output_ipc-2011-learning-spanner-pfile03-014, 312, 311
output_ipc-2011-learning-spanner-pfile03-015, 312, 311
output_ipc-2011-learning-spanner-pfile04-016, 342, 341
output_ipc-2011-learning-spanner-pfile04-017, 342, 341
output_ipc-2011-learning-spanner-pfile04-018, 342, 341
output_ipc-2011-learning-spanner-pfile04-019, 342, 341
output_ipc-2011-learning-spanner-pfile04-020, 342, 341
output_ipc-2011-learning-spanner-pfile05-021, 372, 371
output_ipc-2011-learning-spanner-pfile05-022, 372, 371
output_ipc-2011-learning-spanner-pfile05-023, 372, 371
output_ipc-2011-learning-spanner-pfile05-024, 372, 371
output_ipc-2011-learning-spanner-pfile05-025, 372, 371
output_ipc-2011-learning-spanner-pfile06-026, 402, 401
output_ipc-2011-learning-spanner-pfile06-027, 402, 401
output_ipc-2011-learning-spanner-pfile06-028, 402, 401
output_ipc-2011-learning-spanner-pfile06-029, 402, 401
output_ipc-2011-learning-spanner-pfile06-030, 402, 401
